Pantun,Penulis,Tema,Jenis,Makna,Situasi Penggunaan,Situasi Formal,Situasi Santai,Situasi Kehidupan,Acara/Majlis,Acara Keagamaan,Acara Sosial,Acara Pendidikan,Kata Kunci,Markah,Diterbitkan,Tarikh Cipta,Tarikh Ubah
"Kucing Anggora punya Pak Amat,
Warna putih berbulu lebat,
Bergegas segera di hari Jumat,
Iman terlatih jangan terlambat.",Agusnadi Talah,Agama,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"amat,, anggora, punya, pak, kucing",23.0,tidak,2025-02-14,2025-02-14
"Dengan rakan bersimpuh rapat,
sehari suntuk gilap gangsa;
Hayba bukan sebarang tempat,
tempat untuk bangunkan bangsa",Salehin Bin Deros,Semangat,Ucapan,Menyemarakkan semangat dan motivasi dalam menghadapi cabaran hidup.,Untuk memberi dorongan dan inspirasi kepada individu atau masyarakat.,❌,❌,❌,"Seminar Motivasi, Perhimpunan Sekolah, Sukaneka",❌,❌,✅,"bersimpuh, rakan, dengan, rapat,, sehari",25.0,ya,2025-01-20,2025-01-20
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-tutop, apa, di-dalam, arang, kuali",16.0,ya,2024-12-02,2025-01-16
"Susunlah guni serapat-rapat,
dituas-tuas berbaris rata;
Kalau tekuni semua pendapat,
semakin luas pandangan kita ",CG Karmin Abbas ,Pendapat,Motivasi,Menyemarakkan semangat dan motivasi dalam menghadapi cabaran hidup.,Untuk memberi dorongan dan inspirasi kepada individu atau masyarakat.,❌,❌,❌,"Seminar Motivasi, Perhimpunan Sekolah, Sukaneka",❌,❌,✅,"berbaris, serapat-rapat,, dituas-tuas, guni, susunlah",25.0,ya,2023-02-21,2025-01-15
"Buah belingai dari manila
Kulit terchampak di-dalam paya
Sampai pandai ku-gesek biola
Kerana sayang kepada dia.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"kulit, buah, belingai, manila, dari",21.0,ya,2024-12-02,2024-12-08
"Tuang sharbat kain pon basah
Prah mari alas-alas-nya
Tuan buat hati-ku susah
Kemdian hari Allah balas-nya.",Peranakan,Panton Permolaan 15 & 16,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tuang, kain, pon, basah, sharbat",19.0,ya,2024-12-02,2024-12-02
"Melor wangi di-atas peti
Chempa berdahan di-julai tinggi
Ku-tarek nyanyi hibor-kan hati
It upon tiada tertahan lagi.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"peti, chempa, wangi, melor, di-atas",21.0,ya,2024-12-02,2024-12-02
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-tutop, apa, di-dalam, arang, kuali",16.0,ya,2024-12-02,2024-12-02
"Adek kakak sahabat handai
Mari balek ketempat-nya
Apa bijak apa pandai
Diri-nya baik itu guna-nya.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"adek, mari, kakak, handai, sahabat",18.0,ya,2024-12-02,2024-12-02
"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"remia, buah, di-hutan, pandan, layang-layang",23.0,ya,2024-12-02,2024-12-02
