Pantun,Penulis,Tema,Jenis,Makna,Situasi Penggunaan,Situasi Formal,Situasi Santai,Situasi Kehidupan,Acara/Majlis,Acara Keagamaan,Acara Sosial,Acara Pendidikan,Kata Kunci,Markah,Diterbitkan,Tarikh Cipta,Tarikh Ubah
"Kucing Anggora punya Pak Amat,
Warna putih berbulu lebat,
Bergegas segera di hari Jumat,
Iman terlatih jangan terlambat.",Agusnadi Talah,Agama,Nasihat,Memberikan pengajaran atau peringatan dalam kehidupan berasaskan nilai moral dan agama.,Digunakan untuk memberi nasihat atau peringatan dalam kehidupan seharian.,❌,❌,✅,"Kuliah Agama, Ceramah Motivasi, Khutbah Jumaat",✅,❌,❌,"amat,, anggora, punya, pak, kucing",23,tidak,14/02/2025,14/02/2025
"Dengan rakan bersimpuh rapat,
sehari suntuk gilap gangsa;
Hayba bukan sebarang tempat,
tempat untuk bangunkan bangsa",Salehin Bin Deros,Semangat,Ucapan,Menyemarakkan semangat dan motivasi dalam menghadapi cabaran hidup.,Untuk memberi dorongan dan inspirasi kepada individu atau masyarakat.,❌,❌,❌,"Seminar Motivasi, Perhimpunan Sekolah, Sukaneka",❌,❌,✅,"bersimpuh, rakan, dengan, rapat,, sehari",25,ya,20/01/2025,20/01/2025
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-tutop, apa, di-dalam, arang, kuali",16,ya,02/12/2024,16/01/2025
"Susunlah guni serapat-rapat,
dituas-tuas berbaris rata;
Kalau tekuni semua pendapat,
semakin luas pandangan kita ",CG Karmin Abbas ,Pendapat,Motivasi,Menyemarakkan semangat dan motivasi dalam menghadapi cabaran hidup.,Untuk memberi dorongan dan inspirasi kepada individu atau masyarakat.,❌,❌,❌,"Seminar Motivasi, Perhimpunan Sekolah, Sukaneka",❌,❌,✅,"berbaris, serapat-rapat,, dituas-tuas, guni, susunlah",25,ya,21/02/2023,15/01/2025
"Buah belingai dari manila
Kulit terchampak di-dalam paya
Sampai pandai ku-gesek biola
Kerana sayang kepada dia.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"kulit, buah, belingai, manila, dari",21,ya,02/12/2024,08/12/2024
"Tuang sharbat kain pon basah
Prah mari alas-alas-nya
Tuan buat hati-ku susah
Kemdian hari Allah balas-nya.",Peranakan,Panton Permolaan 15 & 16,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"tuang, kain, pon, basah, sharbat",19,ya,02/12/2024,02/12/2024
"Melor wangi di-atas peti
Chempa berdahan di-julai tinggi
Ku-tarek nyanyi hibor-kan hati
It upon tiada tertahan lagi.",Peranakan,Panton PErmolaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"peti, chempa, wangi, melor, di-atas",21,ya,02/12/2024,02/12/2024
"Apa di-tutop di-dalam kuali
Arang bara dalam kranjang
Hidop kita chuma sekali
Orang muda hari-nya panjiang",Peranakan,Panton Permulaan,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"di-tutop, apa, di-dalam, arang, kuali",16,ya,02/12/2024,02/12/2024
"Adek kakak sahabat handai
Mari balek ketempat-nya
Apa bijak apa pandai
Diri-nya baik itu guna-nya.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"adek, mari, kakak, handai, sahabat",18,ya,02/12/2024,02/12/2024
"Layang-layang di-hutan pandan
Buah remia di-dalam raga
Sayang-sayang tuboh dan badan
Satu dunia bukan-nya harga.",Peranakan,Panton Permolaan 20 Hingga 50,Peranakan,Pantun ini mengandungi mesej tersirat yang boleh dikaji lebih lanjut.,Boleh digunakan dalam pelbagai situasi bergantung kepada konteksnya.,❌,❌,❌,"Pelbagai acara seperti ceramah, perbincangan budaya, dan puisi santai.",❌,❌,❌,"remia, buah, di-hutan, pandan, layang-layang",23,ya,02/12/2024,02/12/2024
